index,Signal0,Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7,Signal8,Signal9,Signal10,Signal11,Signal12,Signal13,Signal14,Signal15,Signal16,Signal17,Signal18,Signal19,Signal20,Signal21,Signal22,Signal23,Signal24,Signal25,Signal26,Signal27,Signal28,Signal29,Signal30,Signal31,Signal32,Signal33,Signal34,Signal35,Signal36,Signal37,Signal38,Signal39,Signal40,Signal41,Signal42,Signal43,Signal44,Signal45,Signal46,Signal47,Signal48,Signal49,Signal50,Signal51,Signal52,Signal53,Signal54,Signal55,Signal56,Signal57,Signal58,Signal59,X,Y
0,25,25,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,34,35,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,0,0
1,27,27,27,27,27,25,25,25,25,25,25,25,25,26,27,27,27,27,27,27,36,36,36,36,35,34,34,34,34,34,34,34,34,36,36,36,36,36,36,36,22,22,22,22,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,0,0
2,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,25,25,25,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,35,34,34,34,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,0,0
3,25,25,25,25,25,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,34,34,34,34,34,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,0,0
4,27,27,27,27,27,27,27,27,27,25,25,25,25,25,25,25,25,26,27,27,36,36,36,36,36,36,36,36,35,34,34,34,34,34,34,34,34,36,36,36,22,22,22,22,22,22,22,22,21,21,21,21,21,21,21,21,21,22,22,22,0,0
5,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,0,0
6,27,25,25,25,25,25,25,25,25,26,27,27,27,27,27,27,27,27,27,27,35,34,34,34,34,34,34,34,34,36,36,36,36,36,36,36,36,36,36,36,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,0,0
7,27,27,27,27,27,27,27,27,27,27,27,27,27,25,25,25,25,25,25,25,36,36,36,36,36,36,36,36,36,36,36,36,34,34,34,34,34,34,34,34,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,21,21,21,0,0
8,25,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,34,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,0,0
9,27,27,27,27,26,25,25,25,25,25,25,25,25,26,27,27,27,27,27,27,36,36,36,36,34,34,34,34,34,34,34,34,34,36,36,36,36,36,36,36,22,22,22,22,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,0,0
10,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,25,25,25,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,34,34,34,34,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,0,0
11,25,25,25,25,25,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,34,34,34,34,34,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,0,0
12,27,27,27,27,27,27,27,27,26,25,25,25,25,25,25,25,25,26,27,27,36,36,36,36,36,36,36,36,34,34,34,34,34,34,34,34,34,36,36,36,22,22,22,22,22,22,22,22,21,21,21,21,21,21,21,21,21,22,22,22,0,0
13,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,0,0
14,26,25,25,25,25,25,25,25,25,26,27,27,27,27,27,27,27,27,27,27,34,34,34,34,34,34,34,34,34,36,36,36,36,36,36,36,36,36,36,36,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,0,0
15,27,27,27,27,27,27,27,27,27,27,27,27,26,25,25,25,25,25,25,25,36,36,36,36,36,36,36,36,36,36,36,36,34,34,34,34,34,34,34,34,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,21,21,21,0,0
16,25,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,34,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,0,0
17,27,27,27,27,26,25,25,25,25,25,25,25,25,26,27,27,27,27,27,27,36,36,36,36,34,34,34,34,34,34,34,34,34,36,36,36,36,36,36,36,22,22,22,22,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,0,0
18,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,25,25,25,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,34,34,34,34,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,0,0
19,25,25,25,25,25,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,34,34,34,34,34,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,0,0
